2025-09-08 15:05:18.701 [restartedMain] INFO  c.r.w.WitChallengeApplication - Starting WitChallengeApplication using Java 22.0.2 with PID 25448 (C:\Users\Administrator\Downloads\wit-challenge\target\classes started by Administrator in C:\Users\Administrator\Downloads\wit-challenge)
2025-09-08 15:05:18.703 [restartedMain] DEBUG c.r.w.WitChallengeApplication - Running with Spring Boot v3.5.5, Spring v6.2.10
2025-09-08 15:05:18.704 [restartedMain] INFO  c.r.w.WitChallengeApplication - No active profile set, falling back to 1 default profile: "default"
2025-09-08 15:05:18.759 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-09-08 15:05:18.759 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-09-08 15:05:19.768 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-09-08 15:05:19.790 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-09-08 15:05:19.791 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.44]
2025-09-08 15:05:19.840 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-09-08 15:05:19.840 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1080 ms
2025-09-08 15:05:19.967 [restartedMain] INFO  c.renato.wit_challenge.KafkaProducer - KafkaProducer initialized successfully
2025-09-08 15:05:20.311 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-09-08 15:05:20.385 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-09-08 15:05:20.720 [restartedMain] INFO  c.r.w.WitChallengeApplication - Started WitChallengeApplication in 2.653 seconds (process running for 3.066)
2025-09-08 15:05:21.187 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-test-group-1, groupId=test-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-09-08 15:05:21.188 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-test-group-1, groupId=test-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2025-09-08 15:05:21.337 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-test-group-1, groupId=test-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-09-08 15:05:21.337 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-test-group-1, groupId=test-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2025-09-08 15:05:21.525 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-test-group-1, groupId=test-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-09-08 15:05:21.527 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-test-group-1, groupId=test-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2025-09-08 15:05:21.819 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-test-group-1, groupId=test-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
